	MMLTSSF1L	MMLTSSF1L
30/10/2024 04:37:23 p. m.	?T	?I
Time	°C	°C
30/10/2024  16:37:23.226	48.80	26.50
30/10/2024  16:37:23.470	48.70	26.50
30/10/2024  16:37:23.592	48.70	26.50
30/10/2024  16:37:23.714	48.60	26.50
30/10/2024  16:37:23.836	48.60	26.50
30/10/2024  16:37:23.958	48.60	26.50
30/10/2024  16:37:24.080	48.60	26.50
30/10/2024  16:37:24.243	48.60	26.50
30/10/2024  16:37:24.365	48.60	26.50
30/10/2024  16:37:24.486	48.60	26.50
30/10/2024  16:37:24.607	48.60	26.50
30/10/2024  16:37:24.730	48.60	26.50
30/10/2024  16:37:24.851	48.60	26.50
30/10/2024  16:37:24.972	48.60	26.50
30/10/2024  16:37:25.094	48.60	26.50
30/10/2024  16:37:25.215	48.50	26.50
30/10/2024  16:37:25.337	48.50	26.50
30/10/2024  16:37:25.459	48.40	26.50
30/10/2024  16:37:25.581	48.40	26.50
30/10/2024  16:37:25.702	48.40	26.50
30/10/2024  16:37:25.824	48.40	26.50
30/10/2024  16:37:25.945	48.40	26.50
30/10/2024  16:37:26.066	48.40	26.50
30/10/2024  16:37:26.188	48.40	26.50
30/10/2024  16:37:26.309	48.40	26.50
30/10/2024  16:37:26.431	48.40	26.50
30/10/2024  16:37:26.552	48.40	26.50
30/10/2024  16:37:26.675	48.40	26.50
30/10/2024  16:37:26.798	48.40	26.50
30/10/2024  16:37:26.918	48.40	26.50
30/10/2024  16:37:27.040	48.40	26.50
30/10/2024  16:37:27.184	48.40	26.50
30/10/2024  16:37:27.305	48.40	26.50
30/10/2024  16:37:27.427	48.30	26.50
30/10/2024  16:37:27.549	48.30	26.50
30/10/2024  16:37:27.671	48.30	26.50
30/10/2024  16:37:27.792	48.30	26.50
30/10/2024  16:37:27.914	48.30	26.50
30/10/2024  16:37:28.036	48.30	26.50
30/10/2024  16:37:28.158	48.30	26.50
30/10/2024  16:37:28.279	48.30	26.50
30/10/2024  16:37:28.401	48.30	26.50
30/10/2024  16:37:28.523	48.30	26.50
30/10/2024  16:37:28.645	48.20	26.50
30/10/2024  16:37:28.766	48.20	26.50
30/10/2024  16:37:28.887	48.10	26.50
30/10/2024  16:37:29.008	48.10	26.50
30/10/2024  16:37:29.129	48.10	26.50
30/10/2024  16:37:29.250	48.10	26.50
30/10/2024  16:37:29.414	48.10	26.50
30/10/2024  16:37:29.536	48.10	26.50
30/10/2024  16:37:29.658	48.10	26.50
