	MMLTSSF1L	MMLTSSF1L
30/10/2024 05:01:27 p. m.	?T	?I
Time	°C	°C
30/10/2024  17:01:27.758	23.60	26.00
30/10/2024  17:01:28.001	23.60	26.00
30/10/2024  17:01:28.124	23.60	26.00
30/10/2024  17:01:28.247	23.60	26.00
30/10/2024  17:01:28.369	23.60	26.00
30/10/2024  17:01:28.490	23.60	26.00
30/10/2024  17:01:28.612	23.60	26.00
30/10/2024  17:01:28.733	23.60	26.00
30/10/2024  17:01:28.854	23.60	26.00
30/10/2024  17:01:28.977	23.60	26.00
30/10/2024  17:01:29.098	23.60	26.00
30/10/2024  17:01:29.218	23.60	26.00
30/10/2024  17:01:29.341	23.60	26.00
30/10/2024  17:01:29.462	23.60	26.00
30/10/2024  17:01:29.584	23.60	26.00
30/10/2024  17:01:29.706	23.60	26.00
30/10/2024  17:01:29.828	23.60	26.00
30/10/2024  17:01:29.950	23.60	26.00
30/10/2024  17:01:30.072	23.60	26.00
30/10/2024  17:01:30.193	23.60	26.00
30/10/2024  17:01:30.315	23.60	26.00
30/10/2024  17:01:30.436	23.60	26.00
30/10/2024  17:01:30.558	23.60	26.00
30/10/2024  17:01:30.680	23.60	26.00
30/10/2024  17:01:30.802	23.60	26.00
30/10/2024  17:01:30.924	23.60	26.00
30/10/2024  17:01:31.047	23.60	26.00
30/10/2024  17:01:31.168	23.60	26.00
30/10/2024  17:01:31.291	23.60	26.00
30/10/2024  17:01:31.413	23.60	26.00
30/10/2024  17:01:31.535	23.60	26.00
30/10/2024  17:01:31.656	23.60	26.00
30/10/2024  17:01:31.777	23.60	26.00
30/10/2024  17:01:31.898	23.60	26.00
30/10/2024  17:01:32.019	23.60	26.00
30/10/2024  17:01:32.140	23.60	26.00
30/10/2024  17:01:32.262	23.60	26.00
30/10/2024  17:01:32.385	23.60	26.00
30/10/2024  17:01:32.506	23.60	26.00
30/10/2024  17:01:32.627	23.60	26.00
30/10/2024  17:01:32.750	23.60	26.00
30/10/2024  17:01:32.872	23.60	26.00
30/10/2024  17:01:32.995	23.60	26.00
30/10/2024  17:01:33.116	23.60	26.00
30/10/2024  17:01:33.238	23.60	26.00
30/10/2024  17:01:33.359	23.60	26.00
30/10/2024  17:01:33.482	23.60	26.00
30/10/2024  17:01:33.603	23.60	26.00
30/10/2024  17:01:33.726	23.60	26.00
30/10/2024  17:01:33.847	23.60	26.00
30/10/2024  17:01:33.969	23.60	26.00
30/10/2024  17:01:34.089	23.60	26.00
30/10/2024  17:01:34.212	23.60	26.00
30/10/2024  17:01:34.334	23.60	26.00
30/10/2024  17:01:34.457	23.60	26.00
30/10/2024  17:01:34.579	23.60	26.00
30/10/2024  17:01:34.701	23.60	26.00
30/10/2024  17:01:34.822	23.60	26.00
30/10/2024  17:01:34.944	23.60	26.00
30/10/2024  17:01:35.065	23.60	26.00
30/10/2024  17:01:35.187	23.60	26.00
30/10/2024  17:01:35.308	23.60	26.00
30/10/2024  17:01:35.430	23.60	26.00
30/10/2024  17:01:35.552	23.60	26.00
30/10/2024  17:01:35.673	23.60	26.00
30/10/2024  17:01:35.794	23.60	26.00
30/10/2024  17:01:35.915	23.60	26.00
30/10/2024  17:01:36.038	23.60	26.00
30/10/2024  17:01:36.159	23.60	26.00
30/10/2024  17:01:36.281	23.60	26.00
30/10/2024  17:01:36.402	23.60	26.00
30/10/2024  17:01:36.524	23.60	26.00
30/10/2024  17:01:36.646	23.60	26.00
30/10/2024  17:01:36.767	23.60	26.00
30/10/2024  17:01:36.888	23.60	26.00
30/10/2024  17:01:37.009	23.60	26.00
30/10/2024  17:01:37.131	23.60	26.00
30/10/2024  17:01:37.252	23.60	26.00
30/10/2024  17:01:37.373	23.60	26.00
30/10/2024  17:01:37.495	23.60	26.00
30/10/2024  17:01:37.615	23.60	26.00
30/10/2024  17:01:37.737	23.60	26.00
30/10/2024  17:01:37.861	23.60	26.00
30/10/2024  17:01:37.983	23.60	26.00
30/10/2024  17:01:38.105	23.60	26.00
30/10/2024  17:01:38.226	23.60	26.00
30/10/2024  17:01:38.347	23.60	26.00
30/10/2024  17:01:38.468	23.60	26.00
30/10/2024  17:01:38.591	23.60	26.00
30/10/2024  17:01:38.713	23.60	26.00
30/10/2024  17:01:38.835	23.60	26.00
30/10/2024  17:01:38.957	23.60	26.00
30/10/2024  17:01:39.079	23.60	26.00
30/10/2024  17:01:39.201	23.60	26.00
30/10/2024  17:01:39.322	23.60	26.00
30/10/2024  17:01:39.443	23.60	26.00
30/10/2024  17:01:39.565	23.60	26.00
30/10/2024  17:01:39.686	23.60	26.00
30/10/2024  17:01:39.807	23.60	26.00
30/10/2024  17:01:39.929	23.60	26.00
30/10/2024  17:01:40.051	23.60	26.00
30/10/2024  17:01:40.172	23.60	26.00
30/10/2024  17:01:40.294	23.60	26.00
30/10/2024  17:01:40.417	23.60	26.00
