	MMLTSSF1L	MMLTSSF1L
30/10/2024 04:47:00 p. m.	?T	?I
Time	°C	°C
30/10/2024  16:47:10.036	25.30	26.30
30/10/2024  16:47:10.156	25.30	26.30
30/10/2024  16:47:10.278	25.30	26.30
30/10/2024  16:47:10.400	25.30	26.30
30/10/2024  16:47:10.522	25.30	26.30
30/10/2024  16:47:10.645	25.30	26.30
30/10/2024  16:47:10.766	25.30	26.30
30/10/2024  16:47:10.887	25.30	26.30
30/10/2024  16:47:11.007	25.30	26.30
30/10/2024  16:47:11.129	25.30	26.30
30/10/2024  16:47:11.251	25.30	26.30
30/10/2024  16:47:11.372	25.30	26.30
30/10/2024  16:47:11.494	25.30	26.30
30/10/2024  16:47:11.616	25.30	26.30
30/10/2024  16:47:11.738	25.30	26.30
30/10/2024  16:47:11.859	25.30	26.30
30/10/2024  16:47:11.982	25.30	26.30
30/10/2024  16:47:12.105	25.30	26.30
30/10/2024  16:47:12.226	25.30	26.30
30/10/2024  16:47:12.347	25.30	26.30
30/10/2024  16:47:12.469	25.30	26.30
30/10/2024  16:47:12.590	25.30	26.30
30/10/2024  16:47:12.712	25.30	26.30
30/10/2024  16:47:12.834	25.30	26.30
30/10/2024  16:47:12.955	25.30	26.30
30/10/2024  16:47:13.077	25.30	26.30
30/10/2024  16:47:13.199	25.30	26.30
30/10/2024  16:47:13.321	25.30	26.30
30/10/2024  16:47:13.442	25.30	26.30
30/10/2024  16:47:13.565	25.30	26.30
30/10/2024  16:47:13.686	25.30	26.30
30/10/2024  16:47:13.808	25.30	26.30
30/10/2024  16:47:13.930	25.30	26.30
30/10/2024  16:47:14.051	25.30	26.30
30/10/2024  16:47:14.173	25.30	26.30
30/10/2024  16:47:14.294	25.30	26.30
30/10/2024  16:47:14.414	25.30	26.30
30/10/2024  16:47:14.536	25.30	26.30
30/10/2024  16:47:14.657	25.20	26.30
30/10/2024  16:47:14.779	25.20	26.30
30/10/2024  16:47:14.899	25.20	26.30
30/10/2024  16:47:15.022	25.20	26.30
30/10/2024  16:47:15.144	25.20	26.30
30/10/2024  16:47:15.267	25.20	26.30
30/10/2024  16:47:15.388	25.20	26.30
30/10/2024  16:47:15.510	25.20	26.30
30/10/2024  16:47:15.631	25.20	26.30
30/10/2024  16:47:15.753	25.20	26.30
30/10/2024  16:47:15.874	25.20	26.30
30/10/2024  16:47:15.996	25.20	26.30
30/10/2024  16:47:16.117	25.20	26.30
30/10/2024  16:47:16.238	25.20	26.30
30/10/2024  16:47:16.359	25.20	26.30
30/10/2024  16:47:16.482	25.20	26.30
30/10/2024  16:47:16.603	25.20	26.30
30/10/2024  16:47:16.725	25.20	26.30
30/10/2024  16:47:16.848	25.20	26.30
30/10/2024  16:47:16.970	25.20	26.30
30/10/2024  16:47:17.091	25.20	26.30
30/10/2024  16:47:17.214	25.20	26.30
30/10/2024  16:47:17.335	25.20	26.30
30/10/2024  16:47:17.457	25.20	26.30
30/10/2024  16:47:17.579	25.20	26.30
30/10/2024  16:47:17.702	25.20	26.30
30/10/2024  16:47:17.822	25.20	26.30
30/10/2024  16:47:17.945	25.20	26.30
30/10/2024  16:47:18.066	25.20	26.30
30/10/2024  16:47:18.187	25.20	26.30
30/10/2024  16:47:18.309	25.20	26.30
30/10/2024  16:47:18.430	25.20	26.30
30/10/2024  16:47:18.551	25.20	26.30
30/10/2024  16:47:18.672	25.20	26.30
30/10/2024  16:47:18.794	25.20	26.30
30/10/2024  16:47:18.916	25.20	26.30
30/10/2024  16:47:19.037	25.20	26.30
30/10/2024  16:47:19.158	25.20	26.30
30/10/2024  16:47:19.279	25.20	26.30
30/10/2024  16:47:19.401	25.20	26.30
30/10/2024  16:47:19.523	25.20	26.30
30/10/2024  16:47:19.644	25.20	26.30
30/10/2024  16:47:19.766	25.20	26.30
30/10/2024  16:47:19.887	25.20	26.30
30/10/2024  16:47:20.009	25.10	26.30
30/10/2024  16:47:20.130	25.10	26.30
30/10/2024  16:47:20.251	25.10	26.30
30/10/2024  16:47:20.372	25.10	26.30
30/10/2024  16:47:20.493	25.10	26.30
30/10/2024  16:47:20.615	25.10	26.30
30/10/2024  16:47:20.736	25.10	26.30
30/10/2024  16:47:20.858	25.10	26.30
30/10/2024  16:47:20.979	25.10	26.30
30/10/2024  16:47:21.101	25.10	26.30
30/10/2024  16:47:21.223	25.10	26.30
30/10/2024  16:47:21.344	25.10	26.30
30/10/2024  16:47:21.465	25.10	26.30
30/10/2024  16:47:21.587	25.10	26.30
30/10/2024  16:47:21.709	25.10	26.30
30/10/2024  16:47:21.832	25.10	26.30
30/10/2024  16:47:21.954	25.10	26.30
30/10/2024  16:47:22.075	25.10	26.30
30/10/2024  16:47:22.197	25.10	26.30
30/10/2024  16:47:22.318	25.10	26.30
30/10/2024  16:47:22.439	25.10	26.30
30/10/2024  16:47:22.561	25.10	26.30
30/10/2024  16:47:22.682	25.10	26.30
30/10/2024  16:47:22.803	25.10	26.30
30/10/2024  16:47:22.925	25.10	26.30
30/10/2024  16:47:23.047	25.10	26.30
30/10/2024  16:47:23.170	25.10	26.30
30/10/2024  16:47:23.291	25.10	26.30
30/10/2024  16:47:23.413	25.10	26.30
30/10/2024  16:47:23.534	25.10	26.30
30/10/2024  16:47:23.656	25.10	26.30
30/10/2024  16:47:23.778	25.10	26.30
30/10/2024  16:47:23.899	25.10	26.30
30/10/2024  16:47:24.020	25.10	26.30
30/10/2024  16:47:24.141	25.10	26.30
30/10/2024  16:47:24.263	25.10	26.30
30/10/2024  16:47:24.385	25.10	26.30
30/10/2024  16:47:24.506	25.10	26.30
30/10/2024  16:47:24.627	25.10	26.30
30/10/2024  16:47:24.749	25.10	26.30
30/10/2024  16:47:24.872	25.10	26.30
30/10/2024  16:47:24.993	25.10	26.30
30/10/2024  16:47:25.115	25.10	26.30
30/10/2024  16:47:25.237	25.10	26.30
30/10/2024  16:47:25.358	25.10	26.30
30/10/2024  16:47:25.482	25.10	26.30
30/10/2024  16:47:25.603	25.10	26.30
30/10/2024  16:47:25.724	25.10	26.30
30/10/2024  16:47:25.846	25.10	26.30
30/10/2024  16:47:25.968	25.10	26.30
30/10/2024  16:47:26.089	25.10	26.30
30/10/2024  16:47:26.211	25.10	26.30
30/10/2024  16:47:26.332	25.10	26.30
30/10/2024  16:47:26.454	25.10	26.30
30/10/2024  16:47:26.576	25.10	26.30
30/10/2024  16:47:26.697	25.10	26.30
30/10/2024  16:47:26.819	25.00	26.30
30/10/2024  16:47:26.941	25.00	26.30
30/10/2024  16:47:27.063	25.00	26.30
30/10/2024  16:47:27.185	25.00	26.30
30/10/2024  16:47:27.307	25.00	26.30
30/10/2024  16:47:27.430	25.00	26.30
30/10/2024  16:47:27.551	25.00	26.30
30/10/2024  16:47:27.674	25.00	26.30
30/10/2024  16:47:27.795	25.00	26.30
30/10/2024  16:47:27.918	25.00	26.30
30/10/2024  16:47:28.039	25.00	26.30
30/10/2024  16:47:28.161	25.00	26.30
30/10/2024  16:47:28.283	25.00	26.30
30/10/2024  16:47:28.404	25.00	26.30
30/10/2024  16:47:28.526	25.00	26.30
30/10/2024  16:47:28.648	25.00	26.30
30/10/2024  16:47:28.770	25.00	26.30
30/10/2024  16:47:28.892	25.00	26.30
30/10/2024  16:47:29.014	25.00	26.30
30/10/2024  16:47:29.137	25.00	26.30
30/10/2024  16:47:29.259	24.90	26.30
30/10/2024  16:47:29.381	24.90	26.30
30/10/2024  16:47:29.503	24.90	26.30
30/10/2024  16:47:29.625	24.90	26.30
30/10/2024  16:47:29.747	24.90	26.30
30/10/2024  16:47:29.867	24.90	26.30
30/10/2024  16:47:29.989	24.90	26.30
30/10/2024  16:47:30.111	24.90	26.30
30/10/2024  16:47:30.233	24.90	26.30
30/10/2024  16:47:30.353	24.90	26.30
30/10/2024  16:47:30.475	24.90	26.30
30/10/2024  16:47:30.597	24.90	26.30
30/10/2024  16:47:30.718	24.90	26.30
30/10/2024  16:47:30.840	24.90	26.30
